,ST
ao.v_ref,0.033109490160958904
la.t_max,0.06620680431827136
ven.c,0.09913281801148954
ven.v_ref,0.1318826762766495
la.E_pas,0.164151804256722
art.r,0.19627562645177832
mv.r,0.22835355681158587
lv.t_tr,0.26025051592201726
ven.r,0.29213642105371745
la.tau,0.32393273708255726
la.k_pas,0.3557110297729742
lv.E_act,0.38739177867458574
la.delay,0.41906810450853615
ao.l,0.45070514685140195
ao.c,0.4820480286404415
lv.tau,0.5133280893678834
lv.E_pas,0.5445685356478845
T,0.5757890489312316
art.v_ref,0.6068368135719557
art.c,0.6378592133781891
ven.l,0.6688356303313039
art.l,0.699747485247716
ao.r,0.7305861589340944
lv.delay,0.7613028962671737
av.r,0.7913912498180674
lv.v_ref,0.8213929644658617
la.v_ref,0.8513786717339475
la.E_act,0.8813551071302973
lv.k_pas,0.9112099173041883
la.t_tr,0.9409556335420598
la.v,0.9705060307243137
lv.t_max,1.0
