,ST
ao.v_ref,1.0906020126160987
la.t_max,1.0902009441001568
ven.c,1.0845584340525825
ven.v_ref,1.0787560050982374
la.E_pas,1.0629211065874729
art.r,1.0581348419602328
mv.r,1.0566231989949781
lv.t_tr,1.050662140463549
ven.r,1.0502980306148897
la.tau,1.0473470321122536
la.k_pas,1.0467533567321
lv.E_act,1.0435403367830691
la.delay,1.0433946442197082
ao.l,1.0421006752026325
ao.c,1.0324112450581149
lv.tau,1.0303419659517348
lv.E_pas,1.029037095478113
T,1.0283805173742908
art.v_ref,1.0226903054016723
art.c,1.0218548065942028
ven.l,1.0203401655679256
art.l,1.0182135400347578
ao.r,1.0158030046754836
lv.delay,1.0117865117705034
av.r,0.9910880167403625
lv.v_ref,0.9882341956264904
la.v_ref,0.987706924428959
la.E_act,0.9874015158609947
lv.k_pas,0.983395271374788
la.t_tr,0.97980179815582
la.v,0.9733681335441601
lv.t_max,0.9715094402157122
