,S1
la.v_ref,0.10812686548888704
la.E_act,0.09906710858993321
ao.v_ref,0.09170943095915517
lv.delay,0.09094430380743883
ao.l,0.08265801599219261
la.tau,0.07810962193541815
la.t_tr,0.07477744337070744
ven.r,0.07324606168480541
la.t_max,0.0707806446403171
la.E_pas,0.06912076885969948
mv.r,0.06888717099565256
la.v,0.06752951746294619
lv.v_ref,0.052850330333014776
ao.r,0.05275665873029178
la.k_pas,0.04999625930621362
art.v_ref,0.04923610780178278
lv.t_tr,0.04799977157525045
av.r,0.044683522526055335
ao.c,0.04163174684021577
art.l,0.041612641980843385
art.c,0.03933944752996174
lv.k_pas,0.03650032976302636
lv.E_act,0.025918756503188395
T,0.02455000510385102
art.r,0.019873967602327923
ven.v_ref,0.018585171812714327
lv.E_pas,0.00934009045551235
ven.l,0.006783968488854901
lv.t_max,0.00629589694683563
la.delay,0.0056892769669624164
lv.tau,0.005023556210097011
ven.c,0.003565346055495927
