,ST
la.t_max,0.034624410467806115
la.t_tr,0.0688603252449029
lv.k_pas,0.10246723996419395
lv.tau,0.13482715152768443
mv.r,0.16711474063702067
la.v_ref,0.1990855491073357
la.tau,0.23076385711612266
ven.r,0.26242943706253746
lv.v_ref,0.2940430226792728
art.r,0.32559583605955494
ven.l,0.35713458597892894
ao.l,0.388633810569497
lv.t_max,0.42009363830636764
T,0.45154194926907715
lv.t_tr,0.48280409462288687
la.E_pas,0.5139625131083663
art.l,0.5450229653852704
ven.c,0.5760396901584863
art.v_ref,0.6070206505201705
art.c,0.6379641210995296
lv.E_pas,0.6688688035215417
la.v,0.6997041015564722
lv.delay,0.7305101676788492
la.k_pas,0.761286125535155
av.r,0.7917508785349432
ao.r,0.8221162427509796
la.delay,0.8522859897546875
lv.E_act,0.8822478552941865
ao.v_ref,0.9121175171886808
la.E_act,0.9419180642155445
ao.c,0.9710174267237782
ven.v_ref,1.0
