,S1
ao.c,0.029011258303951803
ao.r,0.025148348637640768
ven.v_ref,0.004702171305268815
lv.t_tr,-0.002070280724861498
lv.k_pas,-0.008082979873847524
la.v_ref,-0.010350671343655391
la.t_tr,-0.010757121914314102
la.E_pas,-0.01822231419102175
la.t_max,-0.027407847424554335
lv.delay,-0.027501367637894972
av.r,-0.034966938962137734
ven.r,-0.036023010789812744
lv.E_act,-0.03906436725776331
lv.v_ref,-0.041732071924662724
la.v,-0.045929373610512324
art.v_ref,-0.04791800209731542
ven.l,-0.04860470375114062
ao.l,-0.05281950477052556
lv.t_max,-0.05399444852141083
ao.v_ref,-0.05963709227054613
la.delay,-0.06091230188172853
la.tau,-0.06115318601907899
ven.c,-0.061384608503875275
art.l,-0.06258740257387455
la.k_pas,-0.06935551446014165
lv.tau,-0.07441289481680985
la.E_act,-0.07860898280866788
T,-0.08321664616676551
lv.E_pas,-0.0889373377438865
mv.r,-0.0923709269408249
art.c,-0.09771305436619435
art.r,-0.11849533358616472
