,ST
la.t_max,1.138025775811506
la.t_tr,1.1252568043302444
lv.k_pas,1.1045830002394734
lv.tau,1.0635968371641824
mv.r,1.0612197622657076
la.v_ref,1.0508079017426428
la.tau,1.041194075538577
ven.r,1.0407757330206844
lv.v_ref,1.0390667974295271
art.r,1.037069351968275
ven.l,1.0366071179318135
ao.l,1.0353080100951528
lv.t_max,1.034013124943671
T,1.0336345947196897
lv.t_tr,1.0275157537449213
la.E_pas,1.0241064870394638
art.l,1.0208865601436425
ven.c,1.019449336357396
art.v_ref,1.0182738413343755
art.c,1.0170416372899156
lv.E_pas,1.0157667586057546
la.v,1.0134862513026457
lv.delay,1.0125254646924848
la.k_pas,1.0115358743314846
av.r,1.001307277122475
ao.r,0.9980405934098061
la.delay,0.9916110996851567
lv.E_act,0.9847785078406526
ao.v_ref,0.981747983328576
la.E_act,0.9794763345180075
ao.c,0.9564299910562853
ven.v_ref,0.9525913941077406
