time_ind,v_la,v_lv,v_sas,v_sat,v_svn,v_ra,v_rv,v_pas,v_pat,v_pvn,p_lv,q_ao,p_sas,p_sat,q_sas,p_svn,q_sat,p_ra,q_svn,q_ti,p_rv,q_po,p_pas,p_pat,q_pas,p_pvn,q_pat,p_la,q_pvn,q_mi,T
0,280.5456011949638,294.8755769678732,13.557704581607513,119.8763057131026,573.1359997628396,197.51267255935363,206.55765234816639,15.372234429950138,82.13552450220483,434.4708701578223,32.60901786027764,-0.0,144.47419082221688,144.45073201411256,12.635617397268527,38.45380705954512,124.35344102339295,16.090748924322146,240.59174173758086,-0.0,40.632675057044466,-0.0,65.36683949485082,65.3368190128633,16.330351291277026,27.086871379426846,103.55134968707324,27.02775133707719,13.55278325395275,-0.0,3.8239660995270985
1,280.5559538730413,294.8755769678732,13.548035783757449,119.7908184004908,573.0472390486298,197.69658938402523,206.55765234816639,15.35974202241869,82.06880198254869,434.5397324069324,32.61953232167755,-0.0,144.3711577654628,144.34771995671525,12.623890755890905,38.44785177601712,124.23964489950546,16.15013933515148,239.88872364741542,-0.0,40.64178296322571,-0.0,65.31371844717663,65.28374286563864,16.305815877292826,27.091164562267544,103.3960701725047,27.03230041060877,13.494122418601965,-0.0,3.8247316583057827
2,280.5662629656265,294.8755769678732,13.538375930457168,119.70540903798013,572.9589284711075,197.8799691773586,206.55765234816639,15.34726833934554,82.00217926266423,434.60851971730483,32.65093475631245,-0.0,144.26822002400235,144.24480182904912,12.61220064744454,38.44192669381888,124.1259236165272,16.20956697720457,239.18562992651871,-0.0,40.668984587506756,-0.0,65.26067702089162,65.23074610671345,16.281325232067037,27.09545307308973,103.24101559317559,27.03683108113286,13.438609299491674,-0.0,3.8254972170844668
3,280.5765306860767,294.8755769678732,13.528725005927873,119.620077778288,572.8710691467421,198.06281068594535,206.55765234816639,15.334813386935615,81.9356564289693,434.67722978295944,32.70326905444573,-0.0,144.1653774296927,144.14197781513835,12.600567187870743,38.436031887858476,124.01227725172936,16.269030810206736,238.48247257252362,-0.0,40.71431794880131,-0.0,65.2077152423808,65.17782880483112,16.256882991733693,27.09973676812821,103.08618671957603,27.041344313927723,13.385989657535857,-0.0,3.826262775863151
4,280.5867591541432,294.8755769678732,13.5190829620094,119.53482461230207,572.7836611768129,198.24511386577905,206.55765234816639,15.32237712732233,81.86923334661462,434.7458606568608,32.776530524801785,-0.0,144.06262946932756,144.0392479040026,12.589002382449467,38.43016736493108,123.89870573595417,16.328529706512867,237.77926379024402,-0.0,40.77777898340169,-0.0,65.15483295062536,65.12499085272226,16.232491186227726,27.104015525996022,102.93158377291464,27.04584103211816,13.33602404700667,-0.0,3.827028334641835
5,280.59695035559827,294.8755769678732,13.5094497435416,119.44964953674143,572.6967046551634,198.4268786814568,206.55765234816639,15.309959520850017,81.80290987871808,434.81441052977465,32.870712477793006,-0.0,143.9599755551069,143.93661209168837,12.57750842999926,38.42433313133302,123.78520901780357,16.388062512358406,237.07601606013176,-0.0,40.859361896609116,-0.0,65.10202997699878,65.07223214150048,16.208150177131852,27.10828923389736,102.77720693609206,27.05032210037482,13.288488391762685,-0.0,3.827793893420519
6,280.60710603267916,294.8755769678732,13.499825299780085,119.3645525461835,572.6101996622358,198.60810510870374,206.55765234816639,15.297560529768663,81.73668589313178,434.88287782936135,32.98580653530272,-0.0,143.85741514628626,143.83407037166145,12.566076938623002,38.418529192461456,123.67178706179702,16.447628116050133,236.3727414003427,-0.0,40.95905943107604,-0.0,65.049306160978,65.01955256604533,16.18385860332996,27.112557793805472,102.6230563442734,27.054788277201393,13.243186339247996,-0.0,3.8285594521992032
7,280.6172278172543,294.8755769678732,13.490209589027645,119.27953362534326,572.5241462708648,198.78879313166735,206.55765234816639,15.285180117366574,81.67056125405162,434.9512610962684,33.121802403992625,-0.0,143.7549477985301,143.73162272550346,12.554691668992493,38.41275555320313,123.55843983651174,16.507225387346306,235.66945202309483,-0.0,41.07686267043901,-0.0,64.99666134645511,64.96695201832792,16.159613795438112,27.11682111473777,102.46913210044595,27.059240272939583,13.199934192461695,-0.0,3.8293250109778874
8,280.6273173671096,294.8755769678732,13.480602584078156,119.1945927374551,572.4385445505706,198.96894274479916,206.55765234816639,15.272818245702664,81.60453580555986,435.0195588665688,33.27868616308692,-0.0,143.6525732219233,143.6292691089119,12.543327790317095,38.40701221822239,123.44516730292489,16.566853054463213,234.96616166098505,-0.0,41.2127595561517,-0.0,64.94409537209447,64.91443037431951,16.135411476391795,27.121079105426436,102.31543427468094,27.063678809011563,13.158545648909787,-0.0,3.8300905697565715
9,280.63737586979425,294.8755769678732,13.471004278627014,119.10972983902525,572.353394547525,199.14855395172583,206.55765234816639,15.260474887868268,81.5386094235495,435.08777010372893,33.45644546942935,-0.0,143.55029134928245,143.52700946947684,12.531964762535138,38.40129919061708,123.33196942237444,16.62651012556321,234.26288101797246,-0.0,41.36673939624377,-0.0,64.89160812347323,64.86198753529597,16.111247871652004,27.125331701249298,102.16196289338707,27.0681044020629,13.11888745774698,-0.0,3.8308561285352556
10,280.64740462555915,294.8755769678732,13.461414681348643,119.02494486294442,572.2686963076628,199.3276267649471,206.55765234816639,15.248150015425134,81.47278195913984,435.1558936848167,33.65506402007219,-0.0,143.44810227304438,143.4248437263317,12.520582137621245,38.39561647346916,123.21884613353704,16.686195434087935,233.55962267756877,-0.0,41.53878806866822,-0.0,64.83919947966442,64.80962338282627,16.08711871391048,27.129578832197716,102.008717960106,27.07251761767787,13.080813914526475,-0.0,3.8316216873139397
11,280.65740482172384,294.8755769678732,13.451833814422622,118.94023772851732,572.1844498664243,199.5061612075388,206.55765234816639,15.235843603126005,81.40705325984293,435.22392860024803,33.87452337534247,-0.0,143.34600622956003,143.32277178223876,12.509165054649337,38.38996406915643,123.10579735831028,16.74590780880573,232.85639926598728,-0.0,41.72888960048974,-0.0,64.78686933330994,64.75733779561003,16.06302016478834,27.133820435329657,101.85569944434299,27.076918972134386,13.044192237842278,-0.0,3.832387246092624
12,280.66737758984306,294.8755769678732,13.442261708088166,118.85560834387009,572.1006552486575,199.6841573162872,206.55765234816639,15.223555627215344,81.34142316198457,435.29187390589794,34.114801749122265,-0.0,143.24400354106575,143.22079352649024,12.497707511969965,38.38434197934605,122.99282299692972,16.805646012534513,232.15322411132007,-0.0,41.937025119993415,-0.0,64.73461758339492,64.70513064344833,16.0389493250452,27.138056451784124,101.70290727710325,27.081308957228845,13.008896194017074,-0.0,3.833152804871308
13,280.67732381995086,294.8755769678732,13.43269838932999,118.7710566311494,572.017312470163,199.8616151262606,206.55765234816639,15.211286069095115,81.27589152938712,435.35972886650774,34.375880276793126,-0.0,143.14209449511733,143.11890886527303,12.486208376884898,38.37875020509813,122.87992296060727,16.86540902286751,231.45010822447983,-0.0,42.163178286144905,-0.0,64.68244415083555,64.65300181801516,16.01490427184895,27.142286835721773,101.55034138774712,27.085687959691132,12.974826620114941,-0.0,3.833918363649992
14,280.68724439803583,294.8755769678732,13.423143884559607,118.6865825058618,571.9344215334785,200.03853469300316,206.55765234816639,15.199034908893823,81.21045820494231,435.4274927730689,34.657734139467344,-0.0,143.0402793731622,143.01711769677263,12.47467489670465,38.37318874658292,122.76709714030356,16.925195667247568,230.74706422219037,-0.0,42.407327600163406,-0.0,64.63034895113294,64.60095119433471,15.990884314677928,27.14651154293983,101.39800165567954,27.09005636420503,12.94188519742138,-0.0,3.834683922428676
15,280.6971401012027,294.8755769678732,13.41359821671943,118.60218589395912,571.851982440487,200.2149160657375,206.55765234816639,15.186802129121244,81.14512305041237,435.4951650042045,34.960341429143696,-0.0,142.93855841968033,142.91541993176122,12.463113628841395,38.36765760392678,122.65434544006112,16.985004913846907,230.04410320667404,-0.0,42.66945408475544,-0.0,64.578331909914,64.54897866244218,15.96688888599115,27.150730534698848,101.24588797402204,27.09441450817197,12.909985698734994,-0.0,3.8354494812073603
16,280.7070117961702,294.8755769678732,13.404061396460081,118.51786671834725,571.7699951727798,200.39075932931593,206.55765234816639,15.174587706439262,81.07988588635901,435.5627448959724,35.283669510180594,-0.0,142.83693174816722,142.81381547734043,12.451543777117942,38.36215677589459,122.54166773542615,17.04483541486723,229.34123966485737,-0.0,42.949529470060064,-0.0,64.52639292793882,64.49708407959876,15.942919681408268,27.154943769605683,101.09400015901163,27.098762767511076,12.879032458652025,-0.0,3.8362150399860444
