time_ind,v_la,v_lv,v_sas,v_sat,v_svn,v_ra,v_rv,v_pas,v_pat,v_pvn,p_lv,q_ao,p_sas,p_sat,q_sas,p_svn,q_sat,p_ra,q_svn,q_ti,p_rv,q_po,p_pas,p_pat,q_pas,p_pvn,q_pat,p_la,q_pvn,q_mi,T
0,105.45426999322936,157.69772455447495,6.30015280448451,223.4478966321209,314.5387163568631,170.66219017560329,203.72053333947363,7.907124453446657,37.71321815245957,236.03559857468062,14.715668309825126,-0.0,108.39134538361266,108.38510301916895,2.1888890516538417,13.907949023505743,79.81917537150795,2.9741700470767847,160.68613648297364,-0.0,31.314107777811742,-0.0,71.58717844431472,71.57255796649152,9.366749880042057,10.300873781376726,53.986821310392585,3.9782304161851765,870.1637378126179,-0.0,8.600623694243628
1,106.07352010430694,157.69772455447495,6.29858417962912,223.39226476808008,314.4807947089339,170.77731231242865,203.72053333947363,7.900412648024126,37.68124753482475,235.45503088666038,14.735859383386655,-0.0,108.36435788604639,108.35811836007797,2.1883500431010163,13.905387903729816,79.79854300777522,2.9800710835482804,160.56177406476075,-0.0,31.330778591197998,-0.0,71.5264130908294,71.51188377860751,9.362386016712392,10.275537118127811,53.95629031356399,4.0422059153643435,857.8720109822857,-0.0,8.601340412884815
2,106.68398640443327,157.69772455447495,6.297015945907322,223.3366472910036,314.4229473828192,170.89234534934153,203.72053333947363,7.893704317832716,37.649295420492344,234.88322503105786,14.796361184173143,-0.0,108.3373771177608,108.33114067949352,2.1877966531632063,13.902830070239343,79.7779147870299,2.9859783227035748,160.4373687862721,-0.0,31.380732063328658,-0.0,71.46567920036095,71.45124470649327,9.357039401399428,10.250582831649067,53.925455412593976,4.1061301958236305,845.6399584132597,-0.0,8.602057131526003
3,107.28570771900922,157.69772455447495,6.29544811430221,223.28104419509486,314.3651744521706,171.0072892075041,203.72053333947363,7.887000164909019,37.61736133682866,234.3201419530693,14.897177409422094,-0.0,108.3104032677151,108.30416997460397,2.187227728724613,13.900275526290963,79.75729031302929,2.991891760952259,160.31292074813396,-0.0,31.46397124683766,-0.0,71.40498312880014,71.39063985317937,9.350726604176414,10.22600921754249,53.89431590650386,4.169982450137994,833.470209189683,-0.0,8.602773850167189
4,107.87873058955036,157.69772455447495,6.2938806959538605,223.22545546657386,314.3074759508494,171.12214385569467,203.72053333947363,7.880300862833907,37.58544483300543,233.76573488842646,15.038276942834177,-0.0,108.28343652756944,108.2772062387252,2.186644190651454,13.897724273381936,79.73666933756718,2.997811391138973,160.18843007750777,-0.0,31.580470450470006,-0.0,71.34433097441364,71.33006836307901,9.343549120836412,10.201814234959885,53.86287189235331,4.2337415702837315,821.3653874615749,-0.0,8.603490568808377
5,108.4631023894091,157.69772455447495,6.292313700349942,223.16988109351266,314.2498519117268,171.2369092634824,203.72053333947363,7.873606968618177,37.553545569521816,233.2199562462671,15.219617106372791,-0.0,108.25647706055491,108.2502494660715,2.186048809925199,13.895176312965715,79.71605170969161,3.0037372062252548,160.06389689919345,-0.0,31.730194436991706,-0.0,71.28372778010072,71.26952959188372,9.335677516652407,10.177995806979514,53.83112390224576,4.297387101818748,809.3280224640797,-0.0,8.604207287449563
6,109.0388690188924,157.69772455447495,6.290747134019231,223.11432106717814,314.1923023653641,171.35158540251035,203.72053333947363,7.866918871845791,37.52166335958335,232.68275992349461,15.441146699709021,-0.0,108.22952497899624,108.22329965240677,2.1854454257351286,13.892631646393633,79.69543733768997,3.0096691995931164,159.9393213303105,-0.0,31.91310093271552,-0.0,71.22317707296102,71.20902318509299,9.327318103651773,10.154551921607501,53.799072764306814,4.360900108157969,797.3604434706817,-0.0,8.60492400609075
7,109.6060848365572,157.69772455447495,6.289181001524865,223.05877538052678,314.13482734674926,171.4661722402709,203.72053333947363,7.860236866492176,37.489798141591045,232.15409132917574,15.702795602515646,-0.0,108.20258036140022,108.19635679431448,2.1848392427894714,13.890090275212755,79.67482615015881,3.0156073635966094,159.81470350596214,-0.0,32.12913204260748,-0.0,71.16268151450215,71.14854902580352,9.318738418195212,10.1314801964307,53.76671975486259,4.424259026209534,785.4652902524573,-0.0,8.605640724731938
8,110.16480206464524,157.69772455447495,6.2876153028311785,223.0032440313517,314.07742688801943,171.58066974686952,203.72053333947363,7.8535610070379835,37.457950074370494,231.63389802776243,16.004485678606052,-0.0,108.17564320715324,108.16942089072421,2.1842354386695466,13.88755220084408,79.65421811070425,3.0215516911317386,159.6900435514344,-0.0,32.37822325331807,-0.0,71.10224159796483,71.08810741543633,9.310201711651375,10.108778343099537,53.73406647534122,4.487444243731037,773.6449470374056,-0.0,8.606357443373124
9,110.7150749460064,157.69772455447495,6.286050034652611,222.94772702070745,314.02010102141645,171.6950778922953,203.72053333947363,7.8468911766080245,37.4261194883661,231.12212556283563,16.346126308888177,-0.0,108.14871345972865,108.14249194214743,2.1836388749736146,13.885017424713254,79.63361320056245,3.027502175002968,159.56534159342672,-0.0,32.66029974495382,-0.0,71.04185626521917,71.02769898111241,9.30196305823556,10.086443985071218,53.70111489420092,4.550436274607525,761.9017685573064,-0.0,8.607074162014312
