,ST
ao.r,0.03355702592624237
la.v_ref,0.06696103739745657
ven.l,0.10024208583543981
lv.delay,0.1324651995459138
la.t_tr,0.16467726626270224
la.t_max,0.19687615211296947
ven.r,0.22903707560206613
lv.t_max,0.26115427293125365
ao.l,0.29308171271659184
la.delay,0.32497209794418946
art.l,0.35669050606405067
lv.E_act,0.38816352418221706
ao.v_ref,0.4195129050495275
lv.tau,0.45084628825372064
la.E_pas,0.48214414912813064
lv.E_pas,0.513402074125534
art.r,0.5446444276963014
ven.v_ref,0.5757381783653267
la.v,0.6068277585950732
lv.k_pas,0.63780246992633
ao.c,0.6687323575381975
la.E_act,0.6996317784341708
art.v_ref,0.7305166566431164
av.r,0.7613620668475044
lv.t_tr,0.7919801435398924
art.c,0.822585257957512
la.tau,0.8531110506160171
ven.c,0.882925334597513
mv.r,0.9124978747085278
la.k_pas,0.9419609862004596
lv.v_ref,0.9713149518679279
T,1.0
