,S1
la.E_pas,0.0545759223559802
la.t_max,0.042340970821672305
lv.t_tr,0.034301319785689
la.E_act,0.030426273961734803
la.tau,0.025584200651923326
mv.r,0.025473263762746657
lv.t_max,0.02148703116353418
T,0.018035547272246242
ven.r,0.011846782034966245
art.v_ref,0.008878201698888321
ao.c,0.0081339692964164
la.k_pas,0.005349004655042384
lv.v_ref,0.004807450641860874
la.t_tr,0.0024994782128207214
art.l,-0.00823858804261922
av.r,-0.010196009093376372
la.v_ref,-0.012075233108418239
lv.E_pas,-0.01264046901192569
ao.r,-0.014823391074429907
lv.E_act,-0.01490263120091981
lv.k_pas,-0.02665105696777628
ao.l,-0.02759641380000753
la.v,-0.028347061423406594
ao.v_ref,-0.03218344165158307
lv.delay,-0.0354511178161944
ven.c,-0.03801314007035824
la.delay,-0.04164963744203196
ven.l,-0.05547422466406832
art.c,-0.06260870878678537
ven.v_ref,-0.0627896966529222
art.r,-0.07028814940867772
lv.tau,-0.07412115886034407
