,ST
ao.r,1.0715093131952111
la.v_ref,1.066623409004043
ven.l,1.0626970766891553
lv.delay,1.0289161654793724
la.t_tr,1.0285634239508803
la.t_max,1.028142545734065
ven.r,1.0269303696719025
lv.t_max,1.025534149766244
ao.l,1.0194750020953367
la.delay,1.0182918131022878
art.l,1.012800412493636
lv.E_act,1.0049648649466343
ao.v_ref,1.0010170041904063
lv.tau,1.0005061828483357
la.E_pas,0.9993719194224672
lv.E_pas,0.9980967270309439
art.r,0.997599515844924
ven.v_ref,0.992854476950997
la.v,0.9927213106645346
lv.k_pas,0.989053432146376
ao.c,0.9876221660716253
la.E_act,0.9866493334405432
art.v_ref,0.9861849709364533
av.r,0.9849247181789601
lv.t_tr,0.9776657323604694
art.c,0.9772518339963788
la.tau,0.9747190110991099
ven.c,0.9519998292648697
mv.r,0.9442807063247844
la.k_pas,0.9407865413551271
lv.v_ref,0.9373014062997667
T,0.9159422021047331
