output,parameter,index,value,confidence
p_la_max,ao.r,ST,0.002097711614172664,0.0009153390855743295
p_la_max,ao.c,ST,0.003513163141155296,0.0012560398553733436
p_la_max,art.r,ST,0.024509599032055105,0.011041882189661213
p_la_max,art.c,ST,0.03351004174217959,0.009889251364408247
p_la_max,ven.r,ST,0.0018005599692299862,0.0010397055454241552
p_la_max,ven.c,ST,0.055336651864068526,0.021918296975290318
p_la_max,av.r,ST,9.356464537781304e-07,3.546243258560208e-07
p_la_max,mv.r,ST,0.031854565081196676,0.012065581648058663
p_la_max,la.E_pas,ST,0.011261629427072237,0.004790920268873081
p_la_max,la.E_act,ST,0.02693069886457212,0.008864670232218612
p_la_max,la.k_pas,ST,0.8025158652797489,0.270609676535593
p_la_max,lv.E_pas,ST,0.01681507008664854,0.008186385142603246
p_la_max,lv.E_act,ST,0.028823746771207734,0.012807098181854827
p_la_max,lv.k_pas,ST,0.10666189983287899,0.038216788084560936
p_la_max,ao.r,S1,0.01453326830028272,0.018806180426276034
p_la_max,ao.c,S1,-0.017192020248298544,0.01903329128563322
p_la_max,art.r,S1,0.005831083557063824,0.04496924384777493
p_la_max,art.c,S1,0.00916866989638943,0.09362859397910935
p_la_max,ven.r,S1,-0.006680828572410941,0.014450601404178462
p_la_max,ven.c,S1,0.04289519155337854,0.06467221665353512
p_la_max,av.r,S1,9.910172917974535e-05,0.0003121446461888207
p_la_max,mv.r,S1,-0.002835282730449253,0.06777749266487242
p_la_max,la.E_pas,S1,0.004293320120419668,0.034023019965632104
p_la_max,la.E_act,S1,0.035926831378924766,0.054924213192267354
p_la_max,la.k_pas,S1,0.7882450259821359,0.29528103869999384
p_la_max,lv.E_pas,S1,0.015633388348161543,0.037945019214330744
p_la_max,lv.E_act,S1,0.033121488370441605,0.06542420198118647
p_la_max,lv.k_pas,S1,0.16177644947343342,0.1189815709279906
p_la_max,"('ao.r', 'ao.c')",S2,-0.013977858453919842,0.022981877764068206
p_la_max,"('ao.r', 'art.r')",S2,-0.014754977495200525,0.024037300484863508
p_la_max,"('ao.r', 'art.c')",S2,-0.014114838421085308,0.025947515196247953
p_la_max,"('ao.r', 'ven.r')",S2,-0.01393052804276974,0.023360745761699532
p_la_max,"('ao.r', 'ven.c')",S2,-0.015097365784144199,0.024894242152403094
p_la_max,"('ao.r', 'av.r')",S2,-0.013872556155436115,0.023658248006758646
p_la_max,"('ao.r', 'mv.r')",S2,-0.013619643757852197,0.02229304238656415
p_la_max,"('ao.r', 'la.E_pas')",S2,-0.013041409046655399,0.02353525553124204
p_la_max,"('ao.r', 'la.E_act')",S2,-0.014041627658663795,0.024563644684677814
p_la_max,"('ao.r', 'la.k_pas')",S2,-0.015471303372226353,0.03025351984299994
p_la_max,"('ao.r', 'lv.E_pas')",S2,-0.015081977656790185,0.023250055644353434
p_la_max,"('ao.r', 'lv.E_act')",S2,-0.016073924170952773,0.02485120670928182
p_la_max,"('ao.r', 'lv.k_pas')",S2,-0.016220689741015787,0.027631298779801472
p_la_max,"('ao.c', 'art.r')",S2,0.02382273516782064,0.02551058761142112
p_la_max,"('ao.c', 'art.c')",S2,0.02451391461925815,0.025332919398685583
p_la_max,"('ao.c', 'ven.r')",S2,0.024391328375846903,0.024940007966058633
p_la_max,"('ao.c', 'ven.c')",S2,0.022327381092710846,0.02637377921489668
p_la_max,"('ao.c', 'av.r')",S2,0.024225973602306525,0.025260327510756242
p_la_max,"('ao.c', 'mv.r')",S2,0.023765135428841767,0.025520844386907104
p_la_max,"('ao.c', 'la.E_pas')",S2,0.025879775723618683,0.02487197136286121
p_la_max,"('ao.c', 'la.E_act')",S2,0.024863271739620232,0.0263208043264605
p_la_max,"('ao.c', 'la.k_pas')",S2,0.032688471070744796,0.03493393060326368
p_la_max,"('ao.c', 'lv.E_pas')",S2,0.024126207893354883,0.025214689474567082
p_la_max,"('ao.c', 'lv.E_act')",S2,0.02459013906714226,0.026879773243059422
p_la_max,"('ao.c', 'lv.k_pas')",S2,0.028749448619273227,0.02781174963464592
p_la_max,"('art.r', 'art.c')",S2,-0.014769879797705079,0.04905084710444424
p_la_max,"('art.r', 'ven.r')",S2,-0.011606446980756368,0.04537945062487557
p_la_max,"('art.r', 'ven.c')",S2,-0.012346505863725172,0.04777494518520483
p_la_max,"('art.r', 'av.r')",S2,-0.014327547561014533,0.046390689218967114
p_la_max,"('art.r', 'mv.r')",S2,-0.008269033361315287,0.046351147961193814
p_la_max,"('art.r', 'la.E_pas')",S2,-0.015435011475634187,0.045788616794314625
p_la_max,"('art.r', 'la.E_act')",S2,-0.010690336618665287,0.04850443378045747
p_la_max,"('art.r', 'la.k_pas')",S2,0.0602645546245425,0.10305069512456344
p_la_max,"('art.r', 'lv.E_pas')",S2,-0.013330414136776592,0.047430213529033816
p_la_max,"('art.r', 'lv.E_act')",S2,-0.013795503220766381,0.04901528400984596
p_la_max,"('art.r', 'lv.k_pas')",S2,-0.011208640518832053,0.05705460985555392
p_la_max,"('art.c', 'ven.r')",S2,0.01727204416160473,0.1126706970729364
p_la_max,"('art.c', 'ven.c')",S2,0.010711059458734483,0.11166964380597959
p_la_max,"('art.c', 'av.r')",S2,0.013111080136994442,0.1136702731209745
p_la_max,"('art.c', 'mv.r')",S2,0.026624505790270363,0.11412434893600931
p_la_max,"('art.c', 'la.E_pas')",S2,0.013484756748396335,0.11158855905002232
p_la_max,"('art.c', 'la.E_act')",S2,0.014128615166718268,0.11963373559767607
p_la_max,"('art.c', 'la.k_pas')",S2,0.032993236947250315,0.16603200644116015
