,ST
ven.c,1.0975786387478919
ao.v_ref,1.0929409396600536
la.t_max,1.0830057095458572
ven.v_ref,1.0753518896092655
art.r,1.0648971197695907
la.tau,1.0588532638465797
mv.r,1.047418228805907
lv.t_tr,1.0465848031912326
ven.r,1.0444544981392134
la.E_pas,1.043517245693505
ao.l,1.0430261257638993
la.delay,1.0386703532359645
lv.E_act,1.0376412150249772
ao.c,1.036031150529849
lv.tau,1.0260042963205158
art.l,1.0243084649988865
ven.l,1.0235832910301257
la.k_pas,1.0233845543380071
art.v_ref,1.0221330432628395
lv.E_pas,1.0218774096886711
T,1.017234966393254
art.c,1.0153725160704536
lv.delay,1.0071192869557932
la.E_act,1.0065800248758956
ao.r,1.0049104106030287
lv.v_ref,0.9973301173291684
lv.k_pas,0.9950841836528608
la.v,0.9921578971826427
la.v_ref,0.9873447240235135
lv.t_max,0.985500994389225
av.r,0.9803724502562022
la.t_tr,0.9730706649171985
