,S1
la.v_ref,0.09729069525752244
la.E_act,0.09570342427885423
lv.delay,0.09486181274932808
ao.l,0.08727667474484427
ao.v_ref,0.08652033530106351
la.tau,0.08610516983931958
la.k_pas,0.0704394092281686
ven.r,0.06956934414578224
la.t_tr,0.06726267482752744
la.E_pas,0.06714395192192796
mv.r,0.06142498691414729
la.v,0.060516217308227024
la.t_max,0.05881147550767057
lv.v_ref,0.05808116780703899
lv.t_tr,0.052058451397425744
art.l,0.050394473909095704
ao.r,0.0492164435646597
av.r,0.04428631143254658
ao.c,0.042470893453211124
art.v_ref,0.04163793606616881
lv.k_pas,0.03403558669570188
art.c,0.033677075604438146
T,0.02734171664645017
ven.l,0.022247439528462417
lv.E_act,0.02080775618601268
art.r,0.014006808712964657
lv.tau,0.01217831520069337
ven.v_ref,0.012071420120169322
lv.E_pas,0.01001272282457918
la.delay,0.007325253520788869
ven.c,0.005065044746632859
lv.t_max,0.002126743806330297
