,ST
ven.c,0.033347530904268764
ao.v_ref,0.06655415544593483
la.t_max,0.09945891970936868
ven.v_ref,0.132131139362457
art.r,0.16448571365691908
la.tau,0.19665665858300763
mv.r,0.22848017493227435
lv.t_tr,0.2602783694636224
ven.r,0.29201183932645947
la.E_pas,0.32371683281977276
ao.l,0.3554069047061487
la.delay,0.38696463595299385
lv.E_act,0.4184910990819255
ao.c,0.4499686439159727
lv.tau,0.481141544673674
art.l,0.5122629212986981
ven.l,0.5433622650957494
la.k_pas,0.5744555707122565
art.v_ref,0.6055108518968161
lv.E_pas,0.6365583662132771
T,0.6674648300247449
art.c,0.6983147073489173
lv.delay,0.7289138283233896
la.E_act,0.7594965649967832
ao.r,0.7900285740852939
lv.v_ref,0.8203302725105963
lv.k_pas,0.8505637331440579
la.v,0.8807082849512585
la.v_ref,0.9107065989992633
lv.t_max,0.9406488953472254
av.r,0.9704353720774106
la.t_tr,1.0
