time_ind,v_ao,v_art,v_ven,v_la,v_lv,p_lv,q_av,p_ao,p_art,q_ao,p_ven,q_art,p_la,q_ven,q_mv,T
0,167.26766873948438,1337.4457917760983,4527.535194445572,43.79226091736953,158.52071804669433,12.635088885831525,0.0,176.13653237638977,162.31503588973933,0.04309616372179157,9.199637280313372,0.12419221437139592,12.923156950645838,-0.2916277498693936,0.08495311577018878,7183.219630735734
1,167.25420833884402,1337.4204276776977,4527.664658444646,43.67855674231736,158.54378272171218,12.681632111540871,0.0,176.1012870893506,162.30562449610008,0.043015612263372464,9.200326714506195,0.12418402156919024,12.880622417907055,-0.2882424291694313,0.058683514761584364,7183.532257259247
2,167.24077307863934,1337.3950409999043,4527.7930827845985,43.5777128464852,158.5550242155905,12.807954013178302,0.0,176.06610763110012,162.29620472433714,0.04293529218606673,9.201010612205831,0.12417582646213224,12.840232591285886,-0.28502551644627044,0.009519159246750624,7183.844883782758
3,167.22736289255548,1337.3696318103928,4527.920531921216,43.488846757208194,158.55526054384364,13.014196306646841,0.0,176.03099382799698,162.28677659956134,0.04285520287015443,9.20168931665848,0.12416762879218164,12.80168396086354,-0.28195321378217664,0.0,7184.1575103062705
4,167.21397770911554,1337.3442001814308,4528.0469943826,43.40120110822686,158.55526054384364,13.302731134409724,0.0,175.99594549288278,162.27734014858777,0.04277534364845479,9.202362766772865,0.12415942863063947,12.761091709590689,-0.2787212653280767,0.0,7184.470136829783
5,167.2006174553206,1337.3187461867742,4528.1724178716695,43.31459186760961,158.55526054384364,13.673486102510306,0.0,175.96096243461423,162.26789539878362,0.042695713839640485,9.203030684051525,0.12415122622559321,12.71840915081033,-0.2753260363758607,0.0,7184.782763353294
6,167.18728206013864,1337.2932698981153,4528.296752214524,43.229069208596584,158.55526054384364,14.12630030034213,0.0,175.92604446719778,162.25844237675025,0.042616312780829266,9.203692801303564,0.12414302181533834,12.673674766041664,-0.27177056174208286,0.0,7185.095389876807
7,167.1739714521631,1337.2677713874486,4528.419947806538,43.14468273522321,158.55526054384364,14.660974240214527,0.0,175.89119140365975,162.24898110920174,0.04253713980573126,9.204348854369643,0.12413481563580289,12.626927627443436,-0.2680579222650219,0.0,7185.408016400319
8,167.160685560191,1337.2422507264955,4528.541955987984,43.061481106703624,158.55526054384364,15.277273246645159,0.0,175.85640305755925,162.23951162275014,0.04245819425003603,9.204998584122258,0.12412660791875081,12.578207012586216,-0.2641912144768078,0.0,7185.72064292383
9,167.147424313218,1337.2167079867086,4528.662729027917,42.97951205353099,158.55526054384364,15.974928291394086,0.0,175.8216792429751,162.23003394390813,0.042379475451363544,9.20564173637999,0.12411839889185362,12.527552359115756,-0.2601735470593522,0.0,7186.033269447343
10,167.13418764047134,1337.1911432392299,4528.78222028647,42.89882221520376,158.55526054384364,16.753630264865127,0.0,175.78701977459326,162.22054809907317,0.04230098274958589,9.20627806277171,0.12411018877797675,12.475003246351058,-0.256008039335415,0.0,7186.345895970855
11,167.12097547136904,1337.1655565549477,4528.900384027479,42.81945732757839,158.55526054384364,17.613037116288744,0.0,175.7524244675987,162.21105411454838,0.04222271548642554,9.206907319738786,0.12410197779600557,12.420599318738665,-0.2516978153516582,0.0,7186.6585224943665
12,167.1077877355355,1337.1399480044752,4529.017175497278,42.74146214408588,158.55526054384364,18.55277112768492,0.0,175.71789313771706,162.2015520165349,0.04214467300560859,9.20752926895466,0.12409376616049905,12.364380260353643,-0.24724600184868872,0.0,7186.971149017879
13,167.0946243628003,1337.114317658154,4529.1325509197595,42.66488044065942,158.55526054384364,19.57241927277526,0.0,175.68342560121084,162.19204183113322,0.04206685465284899,9.208143677298592,0.12408555408171211,12.3063857550983,-0.24265572514586137,0.0,7187.283775541391
14,167.08148528319694,1337.0886655860572,4529.246467495817,42.589755016302135,158.55526054384364,20.671533404079533,0.0,175.64902167487722,162.18252358434404,0.04198925977583903,9.20875031685263,0.12407734176559862,12.246655447367882,-0.23793010806083528,0.0,7187.596402064903
15,167.06837042696273,1337.0629918579898,4529.358883401767,42.51612769465381,158.55526054384364,21.849630448278415,0.0,175.6146811760463,162.17299730206855,0.04191188772424292,9.209348964893262,0.12406912941381862,12.18522890643556,-0.23307226712084325,0.0,7187.909028588415
16,167.05527972453797,1337.0372965434917,4529.469757786964,42.4440393263805,158.55526054384364,23.106192618104085,0.0,175.58040392258008,162.16346301010975,0.04183473784968946,9.209939403878678,0.12406091722374958,12.12214559216902,-0.228085309878598,0.0,7188.221655111926
17,167.0422131065647,1337.0115797118415,4529.579050765268,42.37352979769871,158.55526054384364,24.44066789579512,0.0,175.54618973286858,162.15392073417345,0.04175780950575705,9.210521421403374,0.12405270538852409,12.057444795955515,-0.22297233028907051,0.0,7188.534281635439
18,167.02917050388675,1336.9858414320556,4529.686723414417,42.304638031013795,158.55526054384364,25.852470065817016,0.0,175.5120384258305,162.14437049986856,0.041681102047974504,9.211094810194734,0.1240444940970328,11.991165637068091,-0.2177364084251586,0.0,7188.846908158951
19,167.01615184755025,1336.9600817728888,4529.792737782379,42.23740197855582,158.55526054384364,27.340978448171175,0.0,175.47794982091403,162.1348123327064,0.04160461483382607,9.211659368146947,0.12403628353389647,11.923347084971846,-0.21238061222206714,0.0,7189.159534682462
20,167.00315706880232,1336.9343008028347,4529.89705687998,42.17185862975719,158.55526054384364,28.905538362391948,0.0,175.4439237380938,162.1252462581018,0.04152834722273801,9.212214898281683,0.12402807387949866,11.854027897619025,-0.2069079926476319,0.0,7189.472161205975
21,166.99018609909047,1336.9084985901318,4529.999644675329,42.10804401682247,158.55526054384364,30.545461451540135,0.0,175.40995999786892,162.1156723013747,0.04145229857606842,9.212761208718447,0.12401986531001102,11.783246583916307,-0.20132158076506235,0.0,7189.784787729487
22,166.97723887006,1336.8826752027692,4530.100466045321,42.04599326322399,158.55526054384364,32.26002745732943,0.0,175.37605842125652,162.10609048775268,0.041376468257077914,9.213298112416274,0.12401165799760505,11.711041347500634,-0.1956243833496691,0.0,7190.0974142529985
23,166.96431531355464,1336.8568307084843,4530.199486810916,41.98574054841917,158.55526054384364,34.048483163233726,0.0,175.34221882979332,162.0965008423697,0.041300855630939604,9.213825427361648,0.1240034521102985,11.63745006700116,-0.18981938132825335,0.0,7190.410040776511
24,166.95141536161645,1336.830965174765,4530.296673737478,41.92731910751523,158.55526054384364,35.91004251884001,0.0,175.30844104553535,162.0869033902673,0.041225460064733634,9.214342976570274,0.12399524781195496,11.562510261084093,-0.18390952704126454,0.0,7190.722667300023
25,166.9385389464844,1336.8050786688527,4530.391994519982,41.87076124605358,158.55526054384364,37.843887275411205,0.0,175.2747248910544,162.07729815639559,0.04115028092743388,9.214850588008321,0.12398704526234844,11.486259046910003,-0.1778977409953254,0.0,7191.035293823535
